optimizer,time_decay,exp_wd,optimizer_name_unc,exp_lr_unc,exp_lr,n_blocks,d_token,attention_dropout,res_drop,ffn_dropout,ffn_factor,accuracy,ce_loss,desired_coverage,coverage,reject_rate,ce_loss_rej,accuracy_rej,auc,auc_rej,pos_rate,bss,brier,bss_rej,brier_rej,pos_rate_rej,meta,dataset,trial,time_to_fit,model_type,exp_lamda,alpha,pretrain,momentum,d_main,hidden_factor,dropout_first,dropout_second,residual_dropout,momentum_sgd,nesterov,exp_beta,reward,momentum_sgd_unc,nesterov_unc,viol,max_viol_trial,avg_perf,min_avg_perf,avg_viol_trial,b_norm,n_estimators,reg_alpha,reg_lambda,folds,zero_init_residual
Adam,False,-6.0,Adam,-4.0,-5.0,4.0,448.0,0.1,1.0,0.25,1.6666666666666663,0.8449367088607594,0.4233398541590087,0.99,0.9937106918238994,0.0062893081761006,0.007509270255889,1.0,0.9166766814886032,-1.0,0.5031645569620253,0.5171852086815996,0.120702927498161,0.5176958449893554,5.600376464687262e-05,0.0,sele,phoneme,0.0,171.12100625038147,TabFTTransformer,,,,,,,,,0.05,,,,,,,0.0037106918238993,0.0336477987421384,0.3938792035708147,0.3938792035708147,,,,,,,
Adam,True,-5.0,SGD,-4.0,-3.0,2.0,384.0,0.05,1.0,0.3,1.6666666666666663,0.9341926729986432,0.1609571898572403,0.99,0.9826666666666668,0.0173333333333333,0.0583143436942104,0.9615384615384616,0.9853025848295116,-1.0,,,,,,,sele,pol,19.0,422.5110831260681,TabFTTransformer,,,,,,,,,0.05,,,,,0.93,True,0.0073333333333331,0.0106666666666666,0.157835289745063,0.157835289745063,,,,,,,
Adam,False,-6.0,Adam,-4.0,-5.0,4.0,448.0,0.1,1.0,0.25,1.6666666666666663,0.7139959432048681,0.5605490508176834,0.99,0.9919517102615694,0.0080482897384306,0.2170671102069653,0.75,0.7928145880649091,1.0,0.4989858012170385,0.2491453498588633,0.1877136625352841,0.2491453498588633,0.0787525703129736,0.5,sele,rl,0.0,259.0472102165222,TabFTTransformer,,,,,,,,,0.05,,,,,,,0.0019517102615693,0.0484909456740443,0.5587019567860103,0.5587019567860103,,,,,,,
AdamW,False,-4.0,Adam,-6.0,-4.0,,,,,,,0.9473148901545972,0.2528641364153993,0.99,0.9902306375264376,0.0097693624735623,0.3058805335445054,0.9381443298969072,0.9983186083605432,0.997481481481482,,,,,,,sele,SVHN,19.0,7997.697451353073,VGG,,,,,,,,,,,,,,,,0.0002306375264375,0.0130224594621813,0.2209283498420574,0.2209283498420574,,False,,,,,
Adam,False,-4.0,AdamW,-3.0,-3.0,,,,,,,0.5744416873449132,1.9318164200154704,0.99,0.9956763434218654,0.0043236565781346,4.296165698088482,0.2857142857142857,0.9934005184357174,-1.0,,,,,,,sele,stanfordcars,8.0,24393.23520755768,Resnet34,,,,,,,,,,,,,,,,0.0056763434218654,0.0161519456454601,1.6354233619342555,1.6354233619342555,,,,,,,False
Adam,True,-3.0,Adam,-3.0,-2.0,2.0,64.0,,,,,0.8221397232534593,0.4349531045340502,0.99,0.9876666666666668,0.0123333333333333,0.8077352740713165,0.4864864864864865,0.7627224752693782,0.5497076023391813,0.2176847789402632,0.2015546430673088,0.1359834199669744,0.5944232528674933,0.2913254523174634,0.5135135135135135,sele,ucicredit,6.0,447.74033212661743,TabResnet,,,,,128.0,2.0,0.4,0.45,,,,,,,,0.0023333333333331,0.0076666666666667,0.4006377757413753,0.4006377757413753,,,,,,,
Adam,True,-5.0,AdamW,-4.0,-4.0,3.0,128.0,0.35,0.0,0.05,2.6666666666666665,0.802,0.4459491035881482,0.99,0.992063492063492,0.0079365079365079,0.3631853330082027,1.0,0.8792300676810829,1.0,0.502,0.4359726237227905,0.1410064856611762,0.4361610066031239,0.1046412319577839,0.25,sele,upselling,15.0,204.17593502998352,TabFTTransformer,,,,,,,,,,,,,,,,0.0020634920634919,0.0261904761904762,0.4014147479403379,0.4014147479403379,,,,,,,
SGD,True,-4.0,Adam,-6.0,-1.0,,,,,,,0.9938292766540968,0.0263264347943796,0.99,0.9913338997451148,0.0086661002548853,0.1133556523714753,0.9803921568627452,0.9999332238050684,-1.0,,,,,,,sele,organamnist,17.0,4403.1703724861145,Resnet18,,,,,,,,,,0.94,True,,,,,0.0013338997451147,0.001911639762107,0.0218958239494256,0.0218958239494256,,,,,,,True
Adam,False,-3.0,AdamW,-7.0,-4.0,,,,,,,0.9491452991452992,0.1653822663414711,0.99,0.989010989010989,0.0109890109890109,1.4680740340222096,0.6538461538461539,0.9985041387633884,-1.0,,,,,,,sele,organcmnist,1.0,2088.847516775131,Resnet18,,,,,,,,,,,,,,,,0.0009890109890109,0.0092138630600169,0.1346200828336522,0.1346200828336522,,,,,,,True
SGD,True,-5.0,Adam,-3.0,-1.0,,,,,,,0.8991097922848664,0.3062118881100238,0.99,0.9918836960399572,0.0081163039600428,0.6814805272862102,0.6483516483516484,0.6898698336856859,0.4956989247311827,0.1008902077151335,0.0446844711008078,0.0866617695025036,0.6917587560549803,0.2387006808315486,0.3406593406593406,sele,chestmnist,18.0,8016.408205270767,Resnet18,,,,,,,,,,0.95,False,,,,,0.0018836960399571,0.0075276489475561,0.2650864244732099,0.2650864244732099,,,,,,,True
Adam,True,-6.0,AdamW,-4.0,-4.0,,,,,,,0.7368421052631579,0.5624499636296338,0.99,0.9743589743589745,0.0256410256410256,0.6374315841204764,0.5,0.6214285714285714,1.0,0.7368421052631579,0.0372605390944631,0.1867162875362575,0.3842916567097068,0.223497182429428,0.5,sele,breastmnist,19.0,246.288667678833,Resnet18,,,,,,,,,,,,,,,,0.0156410256410255,0.0435897435897436,0.545909741293006,0.545909741293006,,,,,,,True
SGD,True,-4.0,Adam,-4.0,-1.0,,,,,,,0.7578203834510595,0.6742286866025633,0.99,0.9890219560878244,0.0109780439121756,0.9129900914701112,0.7272727272727273,0.8675777368070732,-1.0,,,,,,,sele,dermamnist,19.0,1067.1730864048004,Resnet18,,,,,,,,,,0.93,False,,,,,0.0009780439121755,0.0123752495009979,0.6154121310853577,0.6154121310853577,,,,,,,True
Adam,False,-6.0,SGD,-4.0,-2.0,,,,,,,0.951364175563464,0.1508856579283849,0.99,0.9859649122807016,0.0140350877192982,0.3858710646037668,0.9166666666666666,0.9977136261557312,-1.0,,,,,,,sele,bloodmnist,16.0,1584.5723724365234,Resnet18,,,,,,,,,,,,,,0.94,True,0.0040350877192983,0.0228070175438596,0.1526494277085517,0.1526494277085517,,,,,,,True
AdamW,True,-4.0,Adam,-6.0,-3.0,,,,,,,0.9775474956822108,0.085808473539642,0.99,0.9880546075085324,0.0119453924914675,0.0508432100689321,1.0,0.9939243302954984,1.0,0.7357512953367875,0.8992135396609322,0.0195989773757544,0.9511279600107356,0.0064855112558994,0.2857142857142857,sele,pneumoniamnist,11.0,780.9447884559631,Resnet18,,,,,,,,,,,,,,,,0.0019453924914676,0.0155290102389078,0.0712451731261465,0.0712451731261465,,,,,,,False
SGD,True,-4.0,Adam,-3.0,-2.0,,,,,,,0.6310932626991925,1.0009214568973923,0.99,0.9901857100554168,0.0098142899445831,1.534231779293477,0.3793103448275862,0.9184978325729248,0.8110542253540894,,,,,,,sele,tissuemnist,17.0,16656.143023729324,Resnet18,,,,,,,,,,0.94,True,,,,,0.0001857100554167,0.0020178518549854,0.9093866171463624,0.9093866171463624,,,,,,,True
SGD,True,-4.0,Adam,-4.0,-2.0,,,,,,,0.8891969318916921,0.3219063445803647,0.99,0.989936876772482,0.0100631232275181,0.7188950949064938,0.7090909090909091,0.9653675203860944,0.924093545155537,,,,,,,sele,octmnist,19.0,8000.591883420944,Resnet18,,,,,,,,,,0.96,True,,,,,6.31232275180027e-05,0.0077486048851889,0.2572136599900794,0.2572136599900794,,,,,,,True
SGD,True,-4.0,Adam,-6.0,-1.0,,,,,,,0.9714796686746988,0.1105864087375667,0.99,0.9912297070348944,0.0087702929651054,0.088348745118141,0.9787234042553192,0.9993351609327672,-1.0,,,,,,,sele,pathmnist,18.0,7986.153629541397,Resnet18,,,,,,,,,,0.93,True,,,,,0.0012297070348944,0.0068482925919015,0.1044089334884234,0.1044089334884234,,,,,,,True
SGD,True,-4.0,Adam,-6.0,-1.0,,,,,,,0.5126582278481012,1.162975465511091,0.99,0.9875,0.0124999999999999,0.7693886747234477,1.0,0.7434158927857965,-1.0,,,,,,,sele,retinamnist,17.0,301.0004003047943,Resnet18,,,,,,,,,,0.99,False,,,,,0.0024999999999999,0.0375,1.0851350306714282,1.0851350306714282,,,,,,,True
Adam,False,-3.0,AdamW,-6.0,-4.0,,,,,,,0.8892022562449637,0.3134705019547898,0.99,0.9841395717684376,0.0158604282315623,0.5747136911502737,0.625,0.988112876993662,-1.0,,,,,,,sele,organsmnist,11.0,2642.1977891922,Resnet18,,,,,,,,,,,,,,,,0.0058604282315624,0.0129262490087233,0.290064130631904,0.290064130631904,,,,,,,True
