optimizer,time_decay,exp_wd,optimizer_name_unc,exp_lr_unc,exp_lr,n_blocks,d_token,attention_dropout,res_drop,ffn_dropout,ffn_factor,accuracy,ce_loss,desired_coverage,coverage,reject_rate,ce_loss_rej,accuracy_rej,auc,auc_rej,pos_rate,bss,brier,bss_rej,brier_rej,pos_rate_rej,meta,dataset,trial,time_to_fit,model_type,exp_lamda,alpha,pretrain,momentum,d_main,hidden_factor,dropout_first,dropout_second,residual_dropout,momentum_sgd,nesterov,exp_beta,reward,momentum_sgd_unc,nesterov_unc,viol,max_viol_trial,avg_perf,min_avg_perf,avg_viol_trial,b_norm,n_estimators,reg_alpha,reg_lambda,folds,zero_init_residual
Adam,True,-3.0,SGD,-5.0,-4.0,3.0,256.0,,,,,0.9277208529493216,0.2012212123210228,0.99,0.9893150684931508,0.0106849315068493,0.3186925365593464,0.9230769230769232,0.974150119509201,0.9587301587301588,0.4966768208252561,0.7756212049322391,0.0560946987669402,0.7756212049322391,0.0760832114144151,0.8076923076923077,reg,miniboone,15.0,673.4060578346252,TabResnet,,,,,384.0,3.0,0.25,0.0,,,,,,0.97,False,0.0006849315068492,0.003013698630137,0.1959831248521163,0.1959831248521163,,,,,,,
Adam,False,-3.0,AdamW,-7.0,-4.0,,,,,,,0.9867205542725174,0.0528880379893927,0.99,0.9897142857142858,0.0102857142857142,0.1733254145060631,0.9583333333333334,0.9999094660248504,0.9999477124183012,,,,,,,reg,MNIST,11.0,7249.765565872192,Resnet34,,,,,,,,,,,,,,,,0.0002857142857142,0.0084285714285713,0.0495485382012629,0.0495485382012629,,,,,,,True
Adam,False,-6.0,Adam,-4.0,-4.0,1.0,384.0,0.3,1.0,0.2,2.6666666666666665,0.8971428571428571,0.2363295472427637,0.99,0.9935117599351176,0.0064882400648823,0.0005838107992996,1.0,0.9299776195732528,-1.0,0.1559183673469387,0.4535632234266782,0.0719162564884218,-2.0074864386545084,1.0527888130901974e-06,0.0,reg,online,14.0,248.2407476902008,TabFTTransformer,,,,,,,,,0.0,,,,,,,0.0035117599351176,0.0057177615571776,0.2533851009001704,0.2533851009001704,,,,,,,
AdamW,False,-3.0,Adam,-5.0,-3.0,1.0,512.0,0.4,0.0,0.3,2.6666666666666665,0.8210862619808307,0.4195921798588896,0.99,0.9842767295597484,0.0157232704402515,0.3616192263133609,0.6,0.9051041241322988,0.75,0.4952076677316294,0.4730189656763038,0.1317466235316605,0.4726807832696538,0.1285296879700235,0.8,reg,phoneme,2.0,64.55543875694275,TabFTTransformer,,,,,,,,,,,,,,,,0.0057232704402515,0.0198113207547169,0.4113566091008625,0.4113566091008625,,,,,,,
Adam,True,-3.0,AdamW,-6.0,-4.0,4.0,320.0,0.25,0.0,0.05,2.0,0.9071956960322798,0.2252910024864484,0.99,0.9913333333333332,0.0086666666666667,1.2293304462267665,0.4615384615384615,0.9578574706353382,-1.0,,,,,,,reg,pol,17.0,760.2695376873016,TabFTTransformer,,,,,,,,,,,,,,,,0.0013333333333331,0.006,0.1964804452744979,0.1964804452744979,,,,,,,
AdamW,False,-3.0,AdamW,-6.0,-3.0,2.0,128.0,0.1,0.0,0.3,0.6666666666666666,0.6983805668016194,0.5440470849515678,0.99,0.993963782696177,0.0060362173038229,0.8119118068164194,0.6666666666666666,0.7881589299763966,0.0,0.4979757085020243,0.2441426800421634,0.1889643299894591,0.2441426800421634,0.3017535908954324,0.6666666666666666,reg,rl,19.0,147.84435057640076,TabFTTransformer,,,,,,,,,,,,,,,,0.003963782696177,0.0243460764587525,0.5278322626100197,0.5278322626100197,,,,,,,
Adam,False,-3.0,AdamW,-6.0,-4.0,,,,,,,0.9492231136386716,0.2258785118150955,0.99,0.9917413636821432,0.0082586363178568,0.2099474736832687,0.9390243902439024,0.9982669136967404,0.9988830099941216,,,,,,,reg,SVHN,6.0,8163.305860519409,VGG,,,,,,,,,,,,,,,,0.0017413636821431,0.0067831604391177,0.2214984808927479,0.2214984808927479,,True,,,,,
Adam,False,-4.0,AdamW,-3.0,-3.0,,,,,,,0.5719626168224299,1.9332832357141705,0.99,0.9913526868437308,0.0086473131562693,2.94583111645102,0.7142857142857143,0.9933543045415114,-1.0,,,,,,,reg,stanfordcars,8.0,24424.15210199356,Resnet34,,,,,,,,,,,,,,,,0.0013526868437307,0.0269919703520692,1.9428529594643973,1.9428529594643973,,,,,,,False
AdamW,True,-4.0,Adam,-7.0,-5.0,3.0,192.0,,,,,0.8211163416274377,0.4415582724727139,0.99,0.9913333333333332,0.0086666666666667,0.8665990777737564,0.5384615384615384,0.764475496053412,0.6181818181818182,0.2195696032279757,0.1947873050787756,0.1379823289456075,0.5155975347119159,0.2895672719120302,0.4230769230769231,reg,ucicredit,17.0,539.5349400043488,TabResnet,,,,,512.0,1.0,0.15,0.0,,,,,,,,0.0013333333333331,0.005,0.4187020884518433,0.4187020884518433,,,,,,,
SGD,False,-3.0,AdamW,-5.0,-4.0,3.0,128.0,0.35,1.0,0.15,0.6666666666666666,0.795959595959596,0.3980267466201396,0.99,0.9821428571428572,0.0178571428571429,0.5101854471835375,0.6666666666666666,0.8911254775198355,0.7777777777777778,0.4969696969696969,0.4828632118932521,0.1292847306471977,0.4827468367761555,0.1866337003889247,0.6666666666666666,reg,upselling,8.0,182.82223057746887,TabFTTransformer,,,,,,,,,0.0,0.96,True,,,,,0.0078571428571427,0.0265873015873016,0.3746994919092897,0.3746994919092897,,,,,,,
